genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975843,35.51322
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.910196,35.53539
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.885958,35.652987
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865745,35.520421
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865699,35.520684
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865613,35.520127
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.855059,35.591805
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.849816,35.589883
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846285,35.593933
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.845356,35.595117
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.844447,35.5944
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.844227,35.596577
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.838941,35.589077
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.837135,35.592634
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.83653,35.582689
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835103,35.579749
Juncus_effusus_v_solutus,Juncus  effusus v. solutus,21009,Lamp Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.790158,35.594128
