genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.883005,35.515999
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868004,35.520998
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.854134,35.520967
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846798,35.595335
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.844447,35.5944
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.83653,35.582689
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.82452,35.603855
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.823147,35.603734
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.81639,35.6093
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.815618,35.606163
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.802884,35.541683
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80226,35.606997
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.793107,35.545939
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.788951,35.593372
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.788625,35.597977
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.784308,35.600762
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747002,35.558996
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.729005,35.563992
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.707002,35.568996
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.665901,35.445454
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.598107,35.446915
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.564011,35.565994
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.558065,35.47017
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494005,35.538998
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.418633,35.474912
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414288,35.480308
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302788,35.512533
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.27128,35.762599
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.265973,35.730699
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.254734,35.610319
Juncus_tenuis_variety,Juncus  tenuis variety,21164,Poverty Rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.253176,35.733995
