genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.999622,35.556477
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.996006,35.557107
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.995037,35.539683
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.993227,35.551769
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.992149,35.534356
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.927176,35.617472
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.922692,35.597393
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.913857,35.591118
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.886299,35.653249
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.883005,35.515999
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.860274,35.648372
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846798,35.595335
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.838601,35.579143
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835283,35.603629
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.825032,35.614947
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.807088,35.643135
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80226,35.606997
Juniperus_virginiana_v_virginiana,Juniperus  virginiana v. virginiana,21182,Eastern Red-cedar,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.793029,35.604039
