genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990308,35.543874
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.985462,35.510134
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978302,35.522181
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.977732,35.522267
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.974802,35.559634
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.972822,35.54784
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.971156,35.561544
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.947972,35.506172
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.942334,35.509942
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.933856,35.576753
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.931224,35.577177
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.930699,35.577911
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.929383,35.578123
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.927338,35.579525
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.922692,35.597393
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.914298,35.534489
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.913857,35.591118
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.912541,35.59133
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.897639,35.466753
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.87221,35.462377
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835133,35.454971
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.820953,35.453961
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80679,35.59011
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.724217,35.471363
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.634197,35.444681
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.633947,35.444786
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.633428,35.445761
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.631765,35.446113
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.618851,35.445619
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.595505,35.455732
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.595042,35.4554
Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.192079,35.7637
