genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Lilium_michauxii,Lilium  michauxii,22553,Carolina Lily,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.946494,35.506145
Lilium_michauxii,Lilium  michauxii,22553,Carolina Lily,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.94395,35.509524
Lilium_michauxii,Lilium  michauxii,22553,Carolina Lily,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.942334,35.509942
Lilium_michauxii,Lilium  michauxii,22553,Carolina Lily,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.940235,35.533967
Lilium_michauxii,Lilium  michauxii,22553,Carolina Lily,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.931224,35.577177
Lilium_michauxii,Lilium  michauxii,22553,Carolina Lily,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.929747,35.579016
Lilium_michauxii,Lilium  michauxii,22553,Carolina Lily,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.92973,35.578565
Lilium_michauxii,Lilium  michauxii,22553,Carolina Lily,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.929383,35.578123
Lilium_michauxii,Lilium  michauxii,22553,Carolina Lily,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.926403,35.48403
Lilium_michauxii,Lilium  michauxii,22553,Carolina Lily,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.912405,35.534282
Lilium_michauxii,Lilium  michauxii,22553,Carolina Lily,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.897639,35.466753
