genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.99419,35.540912
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.975675,35.518514
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.972228,35.598605
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.936104,35.610504
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.934626,35.608693
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.9329,35.610411
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.928887,35.610509
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.889717,35.640242
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.88741,35.650365
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.887219,35.649964
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.886296,35.650085
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.872501,35.672181
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.860175,35.597587
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.857669,35.651481
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.849341,35.649254
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848601,35.661069
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.846096,35.663291
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.844618,35.594531
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.843876,35.593854
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.837954,35.589253
Lithobates_clamitans_melanota,Lithobates  clamitans melanota,23064,Green Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.836834,35.583151
