genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.990584,35.539136
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.926851,35.613695
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.892498,35.646629
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.890274,35.648016
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.878883,35.661069
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.856625,35.588055
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848617,35.589993
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848601,35.661069
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848255,35.58974
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.846842,35.663147
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.844618,35.594531
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.843782,35.593983
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.838747,35.587333
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.837954,35.589253
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.835722,35.580094
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.825537,35.459676
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.824889,35.460367
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.808503,35.605644
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805542,35.609958
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805539,35.610517
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.802672,35.604257
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.795447,35.605642
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.7885,35.593428
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.743876,35.610235
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.743781,35.610372
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.730539,35.638019
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.70316,35.63843
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.702114,35.654254
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.701658,35.659401
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.699888,35.65342
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.696275,35.652032
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.692138,35.642291
Lithobates_sylvaticus,Lithobates  sylvaticus,23068,Wood Frog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.68017,35.517588
