genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990419,35.531722
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.989141,35.564109
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.988001,35.555386
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.982326,35.568316
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978404,35.519285
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.97622,35.51595
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976075,35.5159
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976008,35.515586
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.912412,35.618804
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.885958,35.652987
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.853005,35.473189
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.844447,35.5944
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835103,35.579749
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.808275,35.638863
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.752423,35.482647
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.727591,35.474035
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.72166,35.473638
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.707602,35.474008
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.696649,35.641812
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.610684,35.457045
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.610688,35.457874
Lobelia_cardinalis,Lobelia  cardinalis,23166,Cardinal-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.61046,35.45696
