genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.980394,35.520921
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976008,35.515586
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.932369,35.605539
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.927176,35.617472
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.845356,35.595117
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.842145,35.455473
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.837448,35.583677
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835283,35.603629
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.813279,35.603667
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.799366,35.60537
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.797723,35.460991
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.784194,35.600675
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.731958,35.475469
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.728197,35.473391
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.727676,35.473637
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.727591,35.474035
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.727595,35.474495
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.720687,35.473515
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.71853,35.471329
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.715305,35.478306
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.611031,35.456884
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.609794,35.447925
Lonicera_japonica,Lonicera  japonica,23223,Japanese Honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.609321,35.454416
