genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.818,35.596995
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.541007,35.688995
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.493547,35.539531
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.49201,35.544033
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.491846,35.545848
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.483133,35.61338
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.481619,35.574732
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.481475,35.610791
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.479479,35.610147
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.477881,35.608431
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.476222,35.597955
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.473864,35.601302
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.472004,35.589992
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.450449,35.580833
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.449681,35.576982
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.446673,35.578566
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.441398,35.654435
Loxia_curvirostra,Loxia  curvirostra,23302,Red Crossbill,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.440659,35.576002
