genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991607,35.554783
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868297,35.470383
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865699,35.520684
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.860706,35.584605
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.858205,35.519519
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.856459,35.521561
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.847726,35.661919
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.832626,35.524458
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806117,35.539841
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.770565,35.564837
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747968,35.635306
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747395,35.634688
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747002,35.558996
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.741238,35.609592
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.71853,35.471329
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.707002,35.568996
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.645974,35.592443
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.640125,35.571282
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.635041,35.569654
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.634787,35.56965
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.612028,35.46082
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.566067,35.477517
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.564011,35.565994
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.436881,35.669687
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.43345,35.673813
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.415206,35.738449
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.406232,35.731941
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.397705,35.724098
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.254869,35.610397
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.217372,35.636802
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.196769,35.760098
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.129699,35.639043
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.12887,35.603171
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.112665,35.759001
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.109115,35.594035
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.109074,35.751996
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.095703,35.574059
Luzula_acuminata_variety,Luzula  acuminata variety,23437,Hairy Wood-rush,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.087894,35.630653
