genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.863563,35.519824
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.837609,35.590748
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.795165,35.59787
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.743054,35.635265
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698418,35.64024
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698383,35.640196
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.682012,35.669359
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549248,35.564199
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549241,35.564316
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542794,35.611945
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542702,35.611487
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542486,35.612339
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.498969,35.685883
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.495192,35.558444
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.458166,35.610548
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.44536,35.625699
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443544,35.609205
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.433503,35.673767
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342333,35.707386
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.334996,35.706664
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.303097,35.507137
Macrobiotus_hufelandi,Macrobiotus  hufelandi,23670,Hufeland`s Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.302906,35.507763
