genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.895538,35.539267
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.866198,35.518274
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.863563,35.519824
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.824127,35.602404
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.805934,35.609508
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.795165,35.59787
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.69872,35.639368
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698418,35.64024
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698383,35.640196
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698099,35.639634
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.693616,35.641916
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.692396,35.641096
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.645361,35.676642
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549248,35.564199
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549241,35.564316
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542794,35.611945
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542734,35.611802
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542702,35.611487
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542627,35.611219
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542486,35.612339
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542302,35.611406
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.541688,35.611527
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.5398,35.611504
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.498969,35.685883
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.49823,35.685204
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.498186,35.685583
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.497682,35.685368
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.468687,35.632128
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.46846,35.632304
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.464838,35.679331
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.44536,35.625699
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443802,35.609335
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443544,35.609205
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.436411,35.673843
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.433503,35.673767
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.432179,35.675993
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.41696,35.618971
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342825,35.707972
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342634,35.70748
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342333,35.707386
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342121,35.7073
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.334996,35.706664
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.303026,35.507355
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.30292,35.507104
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.302906,35.507763
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.302408,35.508097
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.280317,35.73553
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.280135,35.735362
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.219933,35.7416
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.217436,35.651503
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.117781,35.619665
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.081221,35.587471
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.08115,35.58731
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.081084,35.587717
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.080949,35.587629
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.074739,35.585176
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.061235,35.59005
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.060241,35.59004
Macrobiotus_martini,Macrobiotus  martini,23676,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.059483,35.591892
