genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.878159,35.465164
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.80615,35.644419
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.805934,35.609508
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.69872,35.639368
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698418,35.64024
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698383,35.640196
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698099,35.639634
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.693616,35.641916
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.501945,35.684595
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.498969,35.685883
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.498186,35.685583
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.464838,35.679331
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443802,35.609335
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443786,35.609173
Macrobiotus_tonollii,Macrobiotus  tonollii,23684,Tonolli`s Water Bear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443544,35.609205
