genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.919446,35.634658
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.889213,35.626546
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.876427,35.491055
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.871442,35.49313
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.870249,35.520269
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.838228,35.504164
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.834625,35.600913
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.82892,35.489872
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.827848,35.52466
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.825934,35.608283
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.825599,35.610048
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.825032,35.614947
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.824019,35.609049
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.823542,35.602706
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.823477,35.607133
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.823403,35.59375
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.823399,35.598329
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.820568,35.592501
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.816835,35.598708
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.813858,35.49848
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.813194,35.465552
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.813167,35.607401
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.812691,35.603257
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.812255,35.599022
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.812209,35.595815
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.811166,35.600057
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.810629,35.459582
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.808011,35.46223
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.801576,35.597532
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.795062,35.601568
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.78463,35.604333
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.76889,35.45194
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.768051,35.46666
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.750278,35.468878
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.74693,35.643676
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.734445,35.449995
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.733884,35.449999
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.733331,35.450272
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.718791,35.459119
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.718646,35.467883
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.718087,35.466345
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.717804,35.460881
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.717754,35.458087
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.716948,35.450832
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.716741,35.462365
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.713032,35.456896
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.70889,35.44967
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.70222,35.450829
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.700558,35.466658
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.698318,35.453395
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.69572,35.449469
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.695479,35.448177
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.691214,35.44646
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.689839,35.643217
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.686339,35.445947
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.685838,35.466662
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.680995,35.447878
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.679432,35.446596
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.679336,35.444363
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.676708,35.44681
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.664846,35.440511
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.662577,35.439506
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.660551,35.439542
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.656917,35.439225
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.654706,35.439977
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.653781,35.440646
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.651808,35.440266
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.650442,35.44529
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.649992,35.446354
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.649353,35.439969
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.64812,35.44133
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.647939,35.444533
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.647899,35.447013
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.646822,35.442719
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.629928,35.694457
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.629687,35.699239
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.628859,35.444797
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.614648,35.446792
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.600831,35.451111
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.598266,35.451851
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.594238,35.455408
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.593806,35.456688
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.586593,35.458159
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.579137,35.457877
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.574588,35.456892
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.571227,35.458578
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.566799,35.458257
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.566347,35.459655
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.560607,35.483249
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.560396,35.480432
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.559294,35.47904
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.556474,35.662988
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.55337,35.466637
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.551769,35.455737
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.551527,35.465161
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.548707,35.459596
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.547094,35.460505
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.545174,35.461095
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.543205,35.45069
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.541338,35.451919
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.540214,35.453664
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.534604,35.70348
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.523606,35.672876
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.522561,35.670914
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.520605,35.669838
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.519421,35.456669
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.518206,35.670122
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.517315,35.458759
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.515846,35.460385
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.514595,35.67968
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.511901,35.45789
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.506909,35.456443
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.477096,35.606617
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.469806,35.588857
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.442516,35.611704
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.440564,35.464411
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.440511,35.460815
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.439972,35.462322
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.429346,35.611286
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.427193,35.611636
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.425718,35.611404
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.421657,35.467694
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.420311,35.466919
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.420221,35.466101
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.398004,35.583403
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.388536,35.705757
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.386903,35.70697
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.385669,35.707094
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.385173,35.573075
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.376054,35.721246
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372599,35.745977
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372047,35.733729
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372039,35.746474
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.358482,35.647416
Melanerpes_carolinus,Melanerpes  carolinus,24072,Red-bellied Woodpecker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.29565,35.753194
