genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.898038,35.638285
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.889213,35.626546
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.882892,35.625742
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.8801,35.587306
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.878663,35.531154
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.876427,35.491055
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.857845,35.588233
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.820568,35.592501
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.814724,35.588843
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.813167,35.607401
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.812255,35.599022
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.811713,35.461603
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.800737,35.595929
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.795564,35.620411
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.794171,35.602913
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.793466,35.619126
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.78463,35.604333
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.784095,35.603543
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.734445,35.449995
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.717499,35.450828
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.713752,35.617641
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.698318,35.453395
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.697439,35.639054
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.696696,35.64026
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.695551,35.453664
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.695237,35.640536
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.689839,35.643217
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.686439,35.642905
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.683764,35.645462
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.673055,35.652812
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.655817,35.68949
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.653781,35.440646
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.632116,35.655787
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.630393,35.44489
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.57917,35.671184
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.564136,35.666016
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.560607,35.483249
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.559294,35.47904
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.54979,35.463522
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.545613,35.655935
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.545173,35.635096
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.543205,35.45069
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.541338,35.451919
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.538991,35.455078
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.49427,35.663419
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.493692,35.668623
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.478184,35.679733
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.470066,35.682649
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.442263,35.70201
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.440786,35.701751
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.43472,35.706516
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.42432,35.707213
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.420818,35.706175
Meleagris_gallopavo,Meleagris  gallopavo,24164,Wild Turkey,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.420221,35.466101
