genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.936236,35.607761
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.826559,35.607854
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.816835,35.598708
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.814724,35.588843
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.812209,35.595815
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.811166,35.600057
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.80932,35.594918
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.806391,35.591633
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.805304,35.588946
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.801576,35.597532
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.795062,35.601568
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.794171,35.602913
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.78463,35.604333
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.784095,35.603543
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.783478,35.603576
Melospiza_melodia,Melospiza  melodia,24246,Song Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.538267,35.688638
