genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.873853,35.469233
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.871183,35.487088
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.841823,35.593515
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.838041,35.590161
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.805922,35.609481
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.748896,35.634032
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.748238,35.606422
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.74612,35.609039
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.744575,35.605505
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.740308,35.599167
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.725412,35.630114
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.70828,35.660578
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.70316,35.63843
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.692973,35.647113
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.691961,35.642944
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.691958,35.642863
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.691834,35.641469
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.689558,35.640772
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.687309,35.641516
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.665165,35.645343
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.456769,35.482416
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.45665,35.484303
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.430805,35.674768
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.427819,35.608991
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.316587,35.515812
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.280621,35.731468
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.246544,35.747019
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.219933,35.7416
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.111993,35.748637
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.076329,35.587799
Mesodon_normalis,Mesodon  normalis,24821,Grand Globe,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.073902,35.585677
