genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.99025,35.531321
Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.840918,35.560414
Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.748896,35.634032
Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.743457,35.608307
Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.727454,35.624903
Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.710066,35.664737
Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.70828,35.660578
Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.695528,35.643279
Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.689523,35.643026
Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.689444,35.641658
Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542717,35.608819
Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.500114,35.562758
Mesomphix_andrewsae,Mesomphix  andrewsae,24839,Mountain Button,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.499477,35.684123
