genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990505,35.555387
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979361,35.523083
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.837488,35.484677
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.808343,35.644278
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747395,35.634688
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.716187,35.464892
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.710316,35.508883
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.663037,35.605867
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.610518,35.458752
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.543159,35.611622
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.523893,35.447508
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.505246,35.492308
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.493403,35.665014
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.487869,35.696677
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.444633,35.630464
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.440143,35.692264
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.418212,35.685027
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.39728,35.679659
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.271275,35.763194
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.271275,35.763996
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.270673,35.760699
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.267674,35.750895
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.227073,35.742297
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.226572,35.742595
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.225668,35.742296
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.222675,35.743199
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.221569,35.743994
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.220477,35.742897
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.201777,35.780099
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.12887,35.603171
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.125776,35.597637
Mitella_diphylla,Mitella  diphylla,25445,Two-leaf BishopÆs-cap,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.113475,35.743202
