genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979721,35.523002
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.9763,35.560182
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.924907,35.531789
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.880701,35.535089
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.877699,35.530087
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868198,35.470386
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.861681,35.471163
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.861598,35.470687
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.844967,35.509575
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.836624,35.545301
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80694,35.645212
Muhlenbergia_tenuiflora,Muhlenbergia  tenuiflora,24431,Slender Muhly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806303,35.645948
