genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.997751,35.555108
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.990973,35.557908
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.984223,35.567106
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935962,35.609625
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935916,35.607454
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935879,35.607968
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935315,35.607919
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935234,35.609949
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935189,35.609914
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.91828,35.61566
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.874469,35.468894
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.873657,35.468976
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.873202,35.469203
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.852778,35.590967
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.851574,35.599314
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848586,35.589741
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848255,35.58974
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.846042,35.597679
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.845953,35.59796
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.845839,35.599414
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.845656,35.597688
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.845541,35.597871
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.830715,35.589874
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788642,35.593686
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.773601,35.485812
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.744832,35.604949
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.744695,35.609657
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.744375,35.608051
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.743938,35.458027
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.743663,35.610799
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.732873,35.631333
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.723876,35.627796
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.693608,35.644971
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.690837,35.641708
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.690723,35.643567
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.69061,35.641839
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.690216,35.641947
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.690209,35.641731
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.68945,35.641171
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.669089,35.618261
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.664313,35.66922
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.660189,35.669113
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.582628,35.646881
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.581128,35.458826
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.570258,35.672636
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.568392,35.654045
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.554093,35.645471
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.538078,35.687921
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.527504,35.684043
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.501573,35.686486
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.501472,35.686425
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.500093,35.685805
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.486157,35.676053
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.41429,35.480372
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.304177,35.513679
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.304122,35.513689
Nerodia_sipedon,Nerodia  sipedon,26549,Northern Watersnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.302856,35.510648
