genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.981427,35.522329
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.892782,35.643485
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.880571,35.656396
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.878196,35.663771
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.873824,35.673357
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.87352,35.668894
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.869154,35.669089
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.864139,35.663828
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.860093,35.665898
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.845579,35.661816
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.834035,35.581702
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.715365,35.666276
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.683537,35.633083
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.675945,35.667277
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.655825,35.67441
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.648627,35.678868
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.646637,35.675812
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.645425,35.687952
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.630701,35.695783
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.593532,35.661032
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.581333,35.652957
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.559021,35.676355
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.537345,35.688505
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.535816,35.685932
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.535339,35.691098
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.535137,35.689263
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.533205,35.680912
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.522826,35.665654
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.478326,35.723545
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.462663,35.724624
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.458934,35.725584
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.416379,35.737019
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.416307,35.736832
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.415972,35.736361
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.382826,35.706645
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.379567,35.704456
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.219052,35.781945
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.218996,35.78191
Notropis_rubricroceus,Notropis  rubricroceus,26872,Saffron Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.216984,35.779982
