genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.999931,35.553522
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.997925,35.554455
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.994755,35.556679
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.990705,35.529904
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.990005,35.521765
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.989451,35.556414
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.989366,35.5562
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.986923,35.553692
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.985958,35.568992
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.985115,35.568247
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.981427,35.522329
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.968296,35.588959
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.967911,35.588968
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.967444,35.588872
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.935428,35.608304
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.935104,35.607293
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.934659,35.60479
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.934573,35.604242
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.93401,35.603625
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.933728,35.608598
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.933035,35.608362
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.93247,35.610115
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.930866,35.608199
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.928544,35.611094
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.925367,35.615687
Notropis_telescopus,Notropis  telescopus,26874,Telescope Shiner,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.924577,35.612786
