genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.993387,35.556668
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.992486,35.552923
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.992043,35.551663
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991809,35.551624
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990823,35.546448
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990676,35.546938
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990308,35.543874
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990128,35.544663
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.988558,35.538303
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.985693,35.526765
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979108,35.556183
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.966319,35.513806
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.959389,35.509695
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.955249,35.506534
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.955151,35.50687
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.947972,35.506172
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.947336,35.501726
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.929591,35.487458
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.918368,35.473941
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.915936,35.472801
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.897639,35.466753
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.896556,35.466986
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.896366,35.466585
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.894599,35.542886
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.892825,35.466472
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.883005,35.515999
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.871561,35.461797
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868004,35.520998
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865582,35.457226
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.852722,35.454899
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.850783,35.455522
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.850222,35.455237
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.833467,35.455218
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.82844,35.454497
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.827435,35.454422
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.805637,35.609857
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.804764,35.46391
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.770565,35.564837
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747002,35.558996
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.729005,35.563992
Packera_anonyma,Packera  anonyma,28378,Yellow Ragwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.620728,35.445768
