genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.99102,35.53187
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.982101,35.555686
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.935906,35.607787
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.932369,35.605539
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.860706,35.584605
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.720975,35.472932
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.71853,35.471329
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.622607,35.462907
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.451751,35.697896
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414186,35.736541
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.393493,35.708543
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.388506,35.744003
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.372134,35.75006
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302788,35.512533
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301315,35.506495
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301177,35.517098
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.298179,35.510945
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.278181,35.743999
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.278174,35.748398
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.277079,35.751492
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.275972,35.749494
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.213176,35.626801
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.208771,35.628009
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.205531,35.635073
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.202676,35.782598
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.201777,35.780099
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.136773,35.736994
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.125776,35.597637
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.112075,35.760102
Packera_aurea,Packera  aurea,28379,Golden Grounsel,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.053182,35.646746
