genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.998852,35.555649
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848455,35.590105
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848326,35.589883
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848251,35.512679
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.846014,35.597517
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.845796,35.600073
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.845541,35.600034
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.84458,35.593171
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.842146,35.592976
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.841861,35.591477
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.841768,35.591651
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.838762,35.584016
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.807479,35.462756
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806855,35.608071
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806851,35.608576
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806735,35.608407
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805539,35.610517
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805351,35.634199
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.789727,35.602367
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788315,35.593504
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.786445,35.603831
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.725398,35.627419
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.709892,35.652384
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.699528,35.668291
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.693866,35.648382
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.691958,35.642863
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.691778,35.642435
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.690216,35.641947
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.690088,35.641436
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.689945,35.641773
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.68956,35.64115
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.689423,35.641361
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.688836,35.640301
Pantherophis_alleghaniensis,Pantherophis  alleghaniensis,13338,Black Ratsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.686595,35.64593
