genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.878159,35.465164
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.863563,35.519824
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.80615,35.644419
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.805934,35.609508
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.69872,35.639368
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698418,35.64024
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698383,35.640196
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698099,35.639634
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.693616,35.641916
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549248,35.564199
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549242,35.562612
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549241,35.564316
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542734,35.611802
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542702,35.611487
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542627,35.611219
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542486,35.612339
Paramacrobiotus_tonollii,Paramacrobiotus  tonollii,28830,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542302,35.611406
