genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.934939,35.607595
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.927588,35.614533
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.925209,35.618025
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.897069,35.536454
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.889517,35.61046
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.887435,35.610888
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.879712,35.48985
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.878798,35.547564
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.878289,35.608214
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.877388,35.488346
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.874879,35.549288
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.873725,35.607746
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.873412,35.634135
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.871771,35.636102
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.869928,35.637958
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.869739,35.622803
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.868919,35.482617
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.868904,35.485277
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.867789,35.622912
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.866536,35.64131
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.863832,35.554986
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.862239,35.599449
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.861628,35.556273
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.860281,35.597458
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.858567,35.65036
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.858118,35.595302
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.857118,35.652458
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.856519,35.592825
Parkesia_motacilla,Parkesia  motacilla,29173,Louisiana Waterthrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.855892,35.653686
