genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.989451,35.556414
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.935428,35.608304
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.935318,35.610118
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.935104,35.607293
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.934792,35.605697
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.934616,35.607224
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.934573,35.604242
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.934486,35.606092
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.93401,35.603625
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.933728,35.608598
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.93247,35.610115
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.928544,35.611094
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.925202,35.611148
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.924577,35.612786
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.715365,35.666276
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.694721,35.666921
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.691428,35.6695
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.564883,35.438161
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.563004,35.463999
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.52894,35.449304
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.522661,35.439781
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.438174,35.45604
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.438168,35.456563
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.43703,35.458289
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.330818,35.562204
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.303574,35.497212
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.300746,35.504324
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.30068,35.504344
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.299359,35.511743
Percina_evides,Percina  evides,29719,Gilt Darter,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.299053,35.499083
