genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990505,35.555387
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990419,35.531722
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.98009,35.521055
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.861598,35.470687
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.853766,35.522111
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.840299,35.537896
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.840288,35.537896
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.831025,35.548218
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.804789,35.646226
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.795625,35.576516
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.780528,35.586257
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.766275,35.626694
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.765513,35.626387
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.749006,35.637896
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.727595,35.474495
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.696649,35.641812
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.619559,35.445721
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.543159,35.611622
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.526055,35.700099
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.515539,35.473164
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414348,35.482326
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.370056,35.589472
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301349,35.511542
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.298179,35.510945
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.27128,35.762599
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.271275,35.763194
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.193472,35.763701
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.156542,35.555894
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.116769,35.748995
Pilea_pumila,Pilea  pumila,31385,Richweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.089504,35.624233
