genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935838,35.608339
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.930677,35.603922
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.898779,35.611436
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.846042,35.597679
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.838038,35.589125
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.836108,35.581987
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.808321,35.462268
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.789104,35.593648
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.789032,35.593812
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788943,35.593787
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788922,35.593499
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788878,35.594438
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788303,35.59345
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.787764,35.593517
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.784254,35.603999
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.777063,35.482974
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.743663,35.610799
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.732224,35.636278
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.690135,35.642156
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.68782,35.643262
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.677482,35.621347
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.662891,35.669648
Plestiodon_fasciatus,Plestiodon  fasciatus,15537,Common Five-lined Skink,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.658702,35.457628
