genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.99102,35.53187
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.866995,35.469387
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865613,35.520127
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.858205,35.519519
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806117,35.539841
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.802884,35.541683
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.793107,35.545939
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.782282,35.550525
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.767304,35.567824
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.730755,35.557373
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.641918,35.585213
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.618494,35.500159
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.570724,35.549266
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.567882,35.554239
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.566461,35.562571
Poa_alsodes,Poa  alsodes,31856,Grove Blue Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.556255,35.564933
