genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991607,35.554783
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.986399,35.553831
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.986013,35.553831
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.985308,35.53065
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.984738,35.52925
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.9837,35.531285
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.983703,35.531366
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.982316,35.524307
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975657,35.515333
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.914754,35.595143
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.834692,35.483823
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806495,35.643861
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.802884,35.541683
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.76413,35.564075
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.761731,35.562949
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.75605,35.639177
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.752142,35.563493
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747968,35.635306
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.709954,35.509243
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.666038,35.44692
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.665649,35.447506
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.634275,35.571194
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.634275,35.571203
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.622607,35.462907
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.543159,35.611622
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.523599,35.671632
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.5112,35.512898
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.510487,35.476542
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.505383,35.492098
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.499051,35.701979
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.492731,35.636319
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.308295,35.513861
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302433,35.508213
Podophyllum_peltatum,Podophyllum  peltatum,31932,May-apple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301102,35.500189
