genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.978893,35.524437
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.853686,35.590134
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.851409,35.594361
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.847366,35.569635
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.846702,35.608812
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.845448,35.600225
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.844713,35.59753
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.843545,35.576692
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.840888,35.592654
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.839397,35.58419
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.838601,35.579143
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.837841,35.581072
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.825934,35.608283
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.823542,35.602706
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.823477,35.607133
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.820568,35.592501
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.819788,35.589464
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.816835,35.598708
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.814724,35.588843
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.813167,35.607401
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.812691,35.603257
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.812255,35.599022
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.811541,35.591865
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.811166,35.600057
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.810629,35.459582
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.808925,35.457792
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.805304,35.588946
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.80295,35.607802
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.797728,35.592231
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.794171,35.602913
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.793466,35.619126
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.79333,35.462986
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.793243,35.463646
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.791915,35.472392
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.784716,35.61128
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.78463,35.604333
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.784095,35.603543
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.783478,35.603576
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.782621,35.610373
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.782123,35.604292
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.776704,35.610032
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.76914,35.563482
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.768892,35.451661
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.768887,35.468876
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.768336,35.46888
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.767426,35.574572
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.746357,35.60952
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.745631,35.607662
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.738174,35.6094
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.735558,35.609072
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.734683,35.581421
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.732667,35.634032
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.713028,35.659551
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.711038,35.624219
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.703139,35.63387
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.695551,35.453664
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.691176,35.6406
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.688808,35.639815
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.688759,35.640979
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.658647,35.685867
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.654115,35.691474
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.647729,35.692489
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.646822,35.442719
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.646423,35.692734
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.645823,35.693973
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.644395,35.694221
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.643115,35.694285
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.642956,35.446436
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.640478,35.694397
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.634359,35.695811
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.629844,35.697271
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.627787,35.698244
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.604486,35.44593
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.603158,35.680582
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.598389,35.454309
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.595746,35.678912
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.588216,35.643823
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.582449,35.67251
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.579137,35.457877
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.574588,35.456892
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.566799,35.458257
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.559854,35.46613
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.554894,35.680661
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.551769,35.455737
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.55085,35.453836
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.547094,35.460505
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.539497,35.459935
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.538267,35.688638
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.538009,35.690284
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.536769,35.691942
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.535272,35.697688
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.534933,35.695027
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.534929,35.687897
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.533444,35.696149
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.533253,35.690105
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.531942,35.688826
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.526303,35.676442
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.523606,35.672876
Polioptila_caerulea,Polioptila  caerulea,32013,Blue-gray Gnatcatcher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.522783,35.666051
