genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.982326,35.568316
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.981107,35.539884
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976316,35.514677
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976008,35.515586
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975939,35.516101
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.885958,35.652987
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846285,35.593933
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.845356,35.595117
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.844447,35.5944
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835103,35.579749
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.808275,35.638863
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.787021,35.597545
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.732205,35.636368
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.73076,35.638339
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.727591,35.474035
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.681117,35.50164
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.653247,35.440496
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.608824,35.453714
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.60205,35.450327
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.598107,35.446915
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.563091,35.466394
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.56299,35.465991
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.558065,35.47017
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.425723,35.48053
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414348,35.482326
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414288,35.480308
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.337715,35.57405
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.309586,35.551994
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302788,35.512533
Polygonum_sagittatum,Polygonum  sagittatum,32107,Arrow-leaf Tearthumb,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.298179,35.510945
