genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.520496,35.559837
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.511737,35.563355
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.509154,35.562588
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.49995,35.561031
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.495309,35.556873
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494924,35.540548
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494921,35.539033
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.493833,35.555894
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.492,35.561872
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.491312,35.56496
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.490772,35.567441
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.487783,35.565691
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.483463,35.61513
Polytrichum_pallidisetum,Polytrichum  pallidisetum,32359,Polytrichum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.479869,35.585234
