genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990419,35.531722
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.977505,35.52239
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976846,35.522748
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976235,35.522637
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975404,35.558303
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.974803,35.558471
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.972822,35.54784
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.947972,35.506172
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.946494,35.506145
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.931375,35.566178
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.921447,35.603507
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.921447,35.603516
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.919224,35.597008
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.916163,35.55429
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.912912,35.553152
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.900218,35.548564
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.895921,35.542863
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.883005,35.515999
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868004,35.520998
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.867407,35.586573
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.867407,35.586582
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865613,35.520127
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.856843,35.610329
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.855953,35.583735
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.855942,35.583745
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.855597,35.615631
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.855597,35.61564
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.854487,35.585023
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.850433,35.615664
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.850422,35.615673
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.756827,35.586252
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.707002,35.568996
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.696649,35.641812
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.564011,35.565994
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.543159,35.611622
Prenanthes_trifoliolata,Prenanthes  trifoliolata,32555,Gall-of-the-earth,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494005,35.538998
