genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990467,35.546078
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.962912,35.509293
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846798,35.595335
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.748402,35.611556
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.748371,35.633531
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.6219,35.662554
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.563433,35.465017
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.551608,35.459706
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.501873,35.497975
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.501843,35.495939
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414288,35.480308
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.395265,35.741164
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.394825,35.745671
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.391766,35.736556
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.391213,35.73617
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.387743,35.742522
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.386683,35.738856
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.385788,35.738892
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.379281,35.728277
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.375636,35.749937
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.372134,35.75006
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.337561,35.569131
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.337507,35.569565
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.323726,35.558429
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.322217,35.557358
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.319982,35.556383
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.319102,35.556075
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302796,35.531337
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.298893,35.535612
Prunus_americana,Prunus  americana,33000,American Plum,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.296162,35.538044
