genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.972228,35.598605
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.928887,35.610509
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.884632,35.652036
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.844618,35.594531
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.838038,35.589125
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.837954,35.589253
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.835258,35.588848
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.821933,35.607187
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.814984,35.592181
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.814889,35.592309
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.811564,35.597867
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.802672,35.604257
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.795447,35.605642
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.793944,35.603676
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.793897,35.603605
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.79249,35.60663
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788595,35.59329
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.7885,35.593428
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.781003,35.605093
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.777184,35.484269
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.743781,35.610372
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.701658,35.659401
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.68082,35.518574
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.680726,35.518702
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.660446,35.669531
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.617213,35.658014
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.401103,35.726085
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.374319,35.749539
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.309311,35.550097
Pseudacris_crucifer,Pseudacris  crucifer,33408,Spring Peeper,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.307373,35.549819
