genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.895538,35.539267
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.878159,35.465164
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.866198,35.518274
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.863563,35.519824
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.807126,35.609191
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.805934,35.609508
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.795165,35.59787
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.771707,35.602747
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.69872,35.639368
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698418,35.64024
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698383,35.640196
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698099,35.639634
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.693616,35.641916
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.692396,35.641096
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.682012,35.669359
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549248,35.564199
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549242,35.562612
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549241,35.564316
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542794,35.611945
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542734,35.611802
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542702,35.611487
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542627,35.611219
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542486,35.612339
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542302,35.611406
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.541688,35.611527
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.5398,35.611504
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.501945,35.684595
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.498969,35.685883
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.49823,35.685204
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.498186,35.685583
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.497682,35.685368
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.494319,35.537387
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.475476,35.625309
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.47547,35.625111
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.475318,35.625195
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.468687,35.632128
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.468502,35.63224
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.464838,35.679331
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443802,35.609335
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443786,35.609173
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.443544,35.609205
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.442992,35.609928
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.436411,35.673843
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.433851,35.673949
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.433503,35.673767
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342825,35.707972
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342702,35.707532
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342634,35.70748
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342333,35.707386
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.334996,35.706664
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.303097,35.507137
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.303026,35.507355
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.30292,35.507104
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.302906,35.507763
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.302408,35.508097
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.280965,35.734995
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.280135,35.735362
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.217436,35.651503
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.117781,35.619665
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.113272,35.624522
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.082045,35.588205
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.081221,35.587471
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.08115,35.58731
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.081084,35.587717
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.08099,35.587935
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.080949,35.587629
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.080821,35.58782
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.074739,35.585176
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.061235,35.59005
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.060241,35.59004
Pseudechiniscus_suillus_group,Pseudechiniscus  suillus group,33488,Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.059483,35.591892
