genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.992217,35.5344
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.979992,35.521066
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.978051,35.508839
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.974716,35.555229
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.974716,35.555508
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.929355,35.503417
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.914353,35.64064
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.902217,35.53551
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.889717,35.640242
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.887219,35.649964
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.877958,35.661758
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.87222,35.520835
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.871278,35.636204
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.866158,35.520574
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.84684,35.57565
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.844618,35.594531
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.83823,35.584253
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.837671,35.578426
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.824151,35.616905
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.819336,35.649807
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.790727,35.59398
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788595,35.59329
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.7885,35.593428
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.787113,35.592865
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.786558,35.610922
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.779006,35.484993
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.774005,35.486992
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.747782,35.638889
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.747669,35.635926
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.743781,35.610372
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.726948,35.627222
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.701658,35.659401
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.692588,35.642876
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.692138,35.642291
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.688412,35.639842
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.680726,35.518702
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.660554,35.669448
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.660446,35.669531
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.655726,35.673421
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.63749,35.682187
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.620539,35.530509
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.617212,35.662737
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.596654,35.45413
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.596559,35.454258
Pseudotriton_ruber,Pseudotriton  ruber,33740,Black-chinned Red Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.571374,35.458016
