genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.993203,35.55678
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979108,35.556183
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.974802,35.559634
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.902063,35.609482
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.901891,35.613263
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846798,35.595335
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.838197,35.669156
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835283,35.603629
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.832285,35.605295
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.831775,35.664323
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.828262,35.661179
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.824152,35.590569
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.818229,35.612024
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806963,35.646825
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806681,35.646335
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806472,35.648233
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.805637,35.609857
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.752012,35.637017
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750513,35.638673
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.699063,35.671213
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.698783,35.673409
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.696421,35.679024
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.690445,35.446522
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.685343,35.684021
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.661357,35.438578
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.658787,35.440491
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.60152,35.447184
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.601312,35.447233
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.550882,35.454503
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.546738,35.460035
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.497165,35.452336
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.496668,35.451572
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.495213,35.454062
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.49089,35.443921
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.418434,35.477079
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.184742,35.727163
Quercus_stellata,Quercus  stellata,34386,Post Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.076756,35.588098
