genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.981427,35.522329
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.935998,35.605793
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.925367,35.615687
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.892782,35.643485
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.888959,35.647381
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.880571,35.656396
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.878794,35.46505
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.878196,35.663771
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.87352,35.668894
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.871663,35.467437
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.845579,35.661816
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.726425,35.626134
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.724745,35.473965
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.722857,35.636805
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.71647,35.637617
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.716079,35.646936
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.7159,35.638071
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.71242,35.480308
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.68843,35.636759
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.683537,35.633083
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.681695,35.622551
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.675945,35.667277
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.662866,35.663231
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.655825,35.67441
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.645425,35.687952
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.630701,35.695783
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.591237,35.664516
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.566427,35.467
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.562746,35.496111
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.52881,35.449027
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.518791,35.467562
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.434175,35.462268
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.429129,35.470302
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.424435,35.4828
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.395582,35.687526
Rhinichthys_obtusus,Rhinichthys  obtusus,34941,Orangeside Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.35999,35.70239
