genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.992043,35.551663
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991809,35.551624
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.988962,35.538194
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979108,35.556183
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976235,35.522637
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975163,35.519572
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.946982,35.501086
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.918368,35.473941
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.889791,35.46604
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.889104,35.465615
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.883403,35.464859
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.877494,35.464441
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.877459,35.464081
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.873637,35.46347
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.86765,35.458988
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865582,35.457226
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.842145,35.455473
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80679,35.59011
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.741238,35.609592
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.696124,35.649205
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.515846,35.460385
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.506909,35.456443
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.501502,35.458998
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.45987,35.655329
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.430975,35.474529
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414348,35.482326
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414288,35.480308
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.387743,35.742522
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.375636,35.749937
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.297537,35.514725
Rhus_glabra,Rhus  glabra,35112,Smooth Sumac,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.112134,35.703328
