genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.981055,35.530134
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.980695,35.527574
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976316,35.514677
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.845356,35.595117
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.828969,35.601704
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.825564,35.589301
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.825057,35.588358
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.822328,35.586376
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.821519,35.585962
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.804945,35.599508
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80244,35.599846
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.801576,35.597532
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.797723,35.460991
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.796962,35.601289
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.78895,35.593345
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.731958,35.475469
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.69011,35.667421
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.644951,35.671603
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.624863,35.666689
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.609651,35.447946
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.609341,35.447871
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.609332,35.447953
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.608824,35.453714
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.584403,35.658425
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.563046,35.464989
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.535032,35.685588
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.526963,35.697016
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.424981,35.487035
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414348,35.482326
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414288,35.480308
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414253,35.736539
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.394978,35.741179
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.393673,35.747821
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.386045,35.737129
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.372258,35.747146
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.309586,35.551994
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.308911,35.546121
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302788,35.512533
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.298574,35.535231
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.298179,35.510945
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.265486,35.643974
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.074922,35.651655
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.074632,35.65111
Salix_nigra,Salix  nigra,33170,Black Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.074253,35.650567
