genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.969123,35.510628
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.828788,35.605341
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.803606,35.586443
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.675608,35.667446
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.622277,35.6626
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.581683,35.653202
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.522929,35.660496
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.522606,35.660791
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414348,35.482326
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.394931,35.742199
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.383197,35.729091
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.373599,35.74876
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.372258,35.747146
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.338747,35.571605
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.338687,35.571057
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.337518,35.572603
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.337439,35.572532
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.332916,35.562281
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.332537,35.562162
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.32113,35.556415
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.320088,35.556227
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.316771,35.555579
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.315368,35.555885
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.314729,35.553599
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.309586,35.551994
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.30655,35.514165
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.303102,35.525436
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302625,35.54232
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.297756,35.535949
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.2977,35.537853
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.214251,35.611331
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.100482,35.627315
Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.074743,35.64945
