genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.986923,35.553692
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.878196,35.663771
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.870226,35.597528
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.853347,35.589574
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.84498,35.591359
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.77367,35.482052
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.769955,35.488113
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.723046,35.472894
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.722739,35.472613
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.716079,35.646936
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.7159,35.638071
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.715365,35.666276
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.71242,35.480308
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.708833,35.475549
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.70197,35.652607
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.694721,35.666921
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.683537,35.633083
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.681695,35.622551
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.679859,35.497279
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.675945,35.667277
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.655825,35.67441
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.648627,35.678868
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.645425,35.687952
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.625795,35.668165
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.60884,35.663063
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.591237,35.664516
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.581333,35.652957
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.566427,35.467
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.563717,35.482624
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.563004,35.463999
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.562746,35.496111
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.562718,35.647226
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.438168,35.456563
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.43703,35.458289
Salmo_trutta,Salmo  trutta,33173,Brown Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.434175,35.462268
