genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.994755,35.556679
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.871663,35.467437
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.665005,35.449998
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.665004,35.452991
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.658054,35.614368
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.634332,35.598512
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.633129,35.595807
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.633106,35.591076
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.472463,35.634295
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.443254,35.62146
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.417878,35.622306
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.364108,35.586876
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.362643,35.588843
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.35999,35.70239
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.350129,35.56127
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.333856,35.700926
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.305837,35.511979
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.25502,35.608285
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.241962,35.577448
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.23604,35.585914
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.224019,35.605319
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.216984,35.779982
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.211497,35.619981
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.207666,35.756654
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.203314,35.75
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.202558,35.749464
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.201872,35.748656
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.176728,35.707676
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.162269,35.718213
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.082515,35.637416
Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.072784,35.667215
