genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.878208,35.465307
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.866153,35.586062
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.85399,35.591524
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.839397,35.58419
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.838601,35.579143
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.824802,35.61187
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.811541,35.591865
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.805304,35.588946
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.795062,35.601568
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.794171,35.602913
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.78463,35.604333
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.784095,35.603543
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.782965,35.603092
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.782123,35.604292
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.759384,35.633053
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.754514,35.642025
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.746357,35.60952
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.725718,35.62807
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.718613,35.450551
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.711745,35.640896
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.691825,35.642199
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.688759,35.640979
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.646731,35.67599
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.593365,35.629579
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.592715,35.675697
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.582722,35.645671
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.560786,35.64413
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.556368,35.680098
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.551527,35.465161
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.538267,35.688638
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.536709,35.684804
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.535587,35.693337
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.511355,35.678873
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.510446,35.68193
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.501502,35.458998
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.499,35.682998
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.495732,35.456576
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.490051,35.456711
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.440511,35.460815
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.392904,35.57778
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372039,35.746474
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.355973,35.703343
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305386,35.514323
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305077,35.514689
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.30496,35.516377
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.299776,35.561484
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.218536,35.755426
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.217028,35.78118
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.215694,35.779339
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.209687,35.759727
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.209296,35.757615
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.204726,35.751876
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.204313,35.749738
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.193391,35.768408
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.179349,35.745046
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.110571,35.751727
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.110472,35.751747
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.108106,35.755132
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.099925,35.628803
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.093885,35.738263
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.081308,35.584008
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.073431,35.586262
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.073431,35.667889
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.073224,35.584201
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.072618,35.581679
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.07246,35.581537
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.072377,35.583044
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.071806,35.586578
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.069406,35.587206
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066646,35.584188
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066513,35.584596
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066051,35.586371
Sayornis_phoebe,Sayornis  phoebe,35651,Eastern Phoebe,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.060207,35.590005
