genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.986834,35.531379
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.978893,35.524437
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.932368,35.60581
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.929012,35.604882
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.926625,35.572972
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.92559,35.568482
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.925349,35.566406
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.924962,35.606981
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.92381,35.604459
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.923564,35.601626
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.922545,35.606382
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.920812,35.636409
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.918196,35.633075
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.917461,35.55817
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.917294,35.593071
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.916606,35.635205
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.916388,35.563549
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.914304,35.561437
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.910843,35.553887
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.906031,35.635244
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.904858,35.549714
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.903165,35.636881
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.901322,35.636917
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.899474,35.637403
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.897929,35.636503
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.895284,35.635404
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.894197,35.63342
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.893384,35.631998
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.891079,35.631467
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.890583,35.618005
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.889715,35.62977
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.889213,35.626546
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.889015,35.628407
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.88854,35.586059
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.887169,35.620656
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.886424,35.622674
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.884785,35.624363
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.884616,35.626413
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.882892,35.625742
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.882112,35.585888
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.88029,35.62676
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.877461,35.587883
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.875923,35.60901
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.874768,35.58601
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.870785,35.624896
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.870335,35.585151
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.86783,35.586049
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.866153,35.586062
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.857162,35.618659
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.853762,35.613999
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.84912,35.602329
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.847864,35.606739
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.824863,35.658753
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.819669,35.646708
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.819559,35.624115
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.817976,35.62335
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.816137,35.645511
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.813764,35.646161
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.813248,35.644659
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.811222,35.630961
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.809525,35.588153
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.807295,35.631702
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.806974,35.635774
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.80566,35.633552
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.801643,35.623794
Setophaga_pinus,Setophaga  pinus,36696,Pine Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.794171,35.602913
