genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.989157,35.561549
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.982101,35.555686
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.981276,35.531336
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.980803,35.531068
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979912,35.52279
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975705,35.562585
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.974908,35.56338
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.972906,35.555769
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.972274,35.557479
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.947972,35.506172
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.946494,35.506145
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.937596,35.533571
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.916163,35.55429
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868004,35.520998
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.861285,35.470856
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.854134,35.520967
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.851994,35.515655
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.841279,35.521586
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.832626,35.524458
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.777231,35.483385
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.729005,35.563992
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.718679,35.458391
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.64619,35.442589
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.619635,35.446008
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.616038,35.446509
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.612099,35.44801
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.521588,35.454821
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.514861,35.473701
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.501415,35.502041
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.491885,35.499003
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.461885,35.532691
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301182,35.516521
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301177,35.517098
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.29349,35.540267
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.236775,35.625401
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.230739,35.61676
Silene_virginica,Silene  virginica,37000,Fire-pink,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.121572,35.742897
