genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.977732,35.522267
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.973719,35.548232
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.918368,35.473941
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.916393,35.472628
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.915936,35.472801
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.897639,35.466753
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.889791,35.46604
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.889104,35.465615
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.883403,35.464859
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.877494,35.464441
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.877459,35.464081
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.873637,35.46347
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.871561,35.461797
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.871262,35.462057
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.86765,35.458988
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865699,35.520684
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.862092,35.453866
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.861884,35.454186
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.858963,35.454463
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.843679,35.455554
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.842268,35.45584
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.842145,35.455473
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835267,35.455356
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.830522,35.523894
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.827435,35.454422
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.819268,35.523329
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.696509,35.479367
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.598107,35.446915
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.549791,35.460069
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.537192,35.67844
Solidago_altissima_v_altissima,Solidago  altissima v. altissima,37360,Canada Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.300565,35.509574
