genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.999622,35.556477
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.996006,35.557107
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.994907,35.557225
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991511,35.554876
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979108,35.556183
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.977732,35.522267
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976605,35.55648
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.922429,35.620472
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.912405,35.534282
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.887386,35.649708
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.885958,35.652987
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868004,35.520998
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.848434,35.510367
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80694,35.645212
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806303,35.645948
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.766001,35.562995
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.759149,35.639377
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.757666,35.641213
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.75605,35.639177
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750735,35.635513
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750674,35.633712
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750513,35.638673
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747968,35.635306
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747395,35.634688
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.729005,35.563992
Solidago_arguta_variety,Solidago  arguta variety,37364,Atlantic Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.717397,35.467127
