genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.78463,35.604333
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.538538,35.564938
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.507094,35.532949
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.496306,35.55559
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.495034,35.538409
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.494714,35.566133
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.48815,35.567576
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.482672,35.572367
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.480974,35.576702
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.473223,35.585857
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.473041,35.592134
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.471272,35.593442
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.46962,35.590699
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.466078,35.562279
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.463122,35.594699
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.461963,35.557586
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.461854,35.585729
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.458473,35.597868
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.457138,35.585231
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.449928,35.606812
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.449865,35.656822
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.446673,35.578566
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.444632,35.656875
Spinus_pinus,Spinus  pinus,6546,Pine Siskin,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.441398,35.654435
