genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.9329,35.610411
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.86783,35.586049
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.866153,35.586062
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.857162,35.618659
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.846935,35.597036
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.844713,35.59753
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.83801,35.603024
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.834719,35.605769
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.834625,35.600913
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.823477,35.607133
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.823399,35.598329
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.819788,35.589464
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.817766,35.606987
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.817072,35.592889
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.816835,35.598708
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.814724,35.588843
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.812209,35.595815
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.811166,35.600057
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.809525,35.588153
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.809158,35.624358
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.805304,35.588946
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.802612,35.6057
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.801576,35.597532
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.797728,35.592231
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.796394,35.608125
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.794767,35.626045
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.794171,35.602913
Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.78463,35.604333
