genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.883005,35.515999
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.878204,35.528182
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868004,35.520998
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.843852,35.521408
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.843589,35.521442
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.841279,35.521586
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.841037,35.52161
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.81307,35.501806
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.809546,35.523394
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.803087,35.541814
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.802884,35.541683
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.771224,35.557702
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.767263,35.583616
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.766721,35.583592
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.764285,35.564089
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.76413,35.564075
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.752153,35.563484
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.751686,35.563386
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.729005,35.563992
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.723457,35.560423
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.707002,35.568996
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.635041,35.569654
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.634787,35.56965
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.564011,35.565994
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494939,35.560603
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494005,35.538998
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.44064,35.611346
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.402706,35.591214
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.265486,35.643974
Stachys_clingmanii,Stachys  clingmanii,36744,ClingmanÆs Hedge-nettle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.25767,35.609497
