genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.520496,35.559837
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.519414,35.562969
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.509154,35.562588
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.49995,35.561031
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.493833,35.555894
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.492,35.561872
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.491312,35.56496
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.48766,35.567081
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.483463,35.61513
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.478723,35.58313
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.478053,35.581089
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.469142,35.587356
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.469122,35.650579
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.447608,35.650198
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.445941,35.641885
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.445194,35.656124
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439455,35.654799
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.436188,35.646527
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.434654,35.620364
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.433919,35.654334
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.433713,35.663938
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.431435,35.607728
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.410537,35.638516
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.39533,35.628445
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.393345,35.625185
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.390476,35.628947
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.293353,35.673878
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.287644,35.672419
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.260246,35.687233
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.254586,35.707936
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.252819,35.71427
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.25213,35.694109
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.251333,35.695621
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.249942,35.719651
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.243103,35.738285
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.229416,35.692712
Steerecleus_serrulatum,Steerecleus  serrulatum,36913,Unspecified,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.111305,35.71672
