genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978703,35.524388
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.86604,35.526237
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.843578,35.521451
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.830181,35.540225
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.767263,35.583616
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.76413,35.564075
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.761731,35.562949
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.752142,35.563493
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.652389,35.609626
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.644621,35.589237
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.644375,35.582762
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.644072,35.590322
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.641296,35.585777
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.636831,35.599332
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.596873,35.526307
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.574945,35.542272
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.567882,35.554239
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.444633,35.630464
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439754,35.663166
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.430709,35.612926
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.378549,35.656396
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.371045,35.649135
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.316587,35.515812
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.271275,35.763194
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.25517,35.609301
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.221569,35.743994
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.217372,35.636802
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.208771,35.628009
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.205921,35.642412
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.202014,35.642916
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.201988,35.645991
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.172691,35.55134
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.102969,35.570461
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.061416,35.58938
Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.0601,35.591836
