genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.981109,35.53636
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.974802,35.559634
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.973978,35.556148
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.973506,35.556484
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.972906,35.555769
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.972274,35.557479
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.971156,35.561544
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.927948,35.612623
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.924762,35.57272
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.921399,35.608258
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.920422,35.607786
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.919841,35.596669
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.919114,35.607943
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.917863,35.608749
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.914754,35.595143
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.904024,35.594717
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.902271,35.603916
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.886299,35.653249
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.878549,35.465281
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.878499,35.466986
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.873357,35.625817
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.864039,35.622695
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.804446,35.463954
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.79977,35.464765
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.532739,35.681905
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.52663,35.699402
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.52648,35.700271
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.526238,35.700645
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.526004,35.700939
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.521093,35.66779
Stewartia_ovata,Stewartia  ovata,38300,Mountain-camellia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.501415,35.502041
