genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935914,35.608625
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935538,35.609509
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.930572,35.603763
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.877931,35.467117
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.856633,35.593255
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848703,35.591793
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848535,35.589553
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848363,35.589692
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.845985,35.597301
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.845842,35.597323
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.845731,35.597307
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.841942,35.591566
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.841768,35.591651
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.838747,35.587333
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.836009,35.581683
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.835812,35.581706
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.807123,35.60848
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806777,35.608361
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806726,35.607858
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806592,35.608131
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.80652,35.608908
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806483,35.607836
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805769,35.609845
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.794147,35.60094
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.790181,35.602735
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.790081,35.602404
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.789983,35.602443
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.789786,35.602177
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.789727,35.602367
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.789712,35.602251
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788642,35.593686
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788253,35.593623
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.784672,35.599826
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.777117,35.606336
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.771967,35.605472
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.711745,35.640896
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.691308,35.640913
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.691212,35.640699
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.691048,35.641721
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.690976,35.641885
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.69082,35.641852
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.690723,35.643567
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.69061,35.641839
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.68956,35.64115
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.689423,35.641361
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.688719,35.639438
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.683304,35.63106
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.583273,35.647697
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.58267,35.64716
Storeria_dekayi,Storeria  dekayi,37534,Midland Brownsnake,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.299359,35.508642
