genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.918196,35.633075
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.863832,35.554986
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.84262,35.521176
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.842542,35.535509
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.819559,35.624115
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.817976,35.62335
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.815689,35.623304
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.813666,35.623838
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.807901,35.645847
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.775499,35.610592
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.768221,35.567217
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.767019,35.603144
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.750278,35.468878
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.744877,35.60658
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.737763,35.649771
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.690625,35.641307
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.68283,35.647583
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.671904,35.44844
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.646822,35.442719
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.589001,35.601055
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.586047,35.642643
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.58051,35.671993
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.540937,35.688888
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.521211,35.685247
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.519493,35.679109
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.512985,35.650879
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.500943,35.672682
Valid,Strix_varia,Strix  varia,38526,Barred Owl,Bird,-83.480129,35.669029
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.470701,35.678525
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.436666,35.65426
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.42432,35.707213
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.421554,35.672782
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.419974,35.704948
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.398545,35.585267
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.398004,35.583403
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.395862,35.4896
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.389268,35.616198
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.374115,35.743035
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.371614,35.735513
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.369915,35.734879
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.367392,35.542462
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.349568,35.749025
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.270679,35.762863
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.216527,35.753949
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.208743,35.750378
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.204726,35.751876
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.202703,35.748695
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.198267,35.756276
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.196755,35.758413
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.186659,35.741064
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.166125,35.576266
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.135331,35.76537
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.134901,35.763358
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.114673,35.745426
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.111257,35.773917
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.110505,35.766394
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.104385,35.700742
Strix_varia,Strix  varia,38526,Barred Owl,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.072981,35.585918
