genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.937596,35.533571
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.900218,35.548564
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.878204,35.528182
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865648,35.523263
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.86516,35.523184
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.861285,35.470856
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.860706,35.584605
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.855059,35.591805
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.837448,35.583677
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.830995,35.541107
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.830996,35.541116
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.830181,35.540225
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806495,35.643861
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.8055,35.567688
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.795625,35.576516
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.793422,35.577568
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.775176,35.56803
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.761057,35.565173
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.760911,35.565402
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.709954,35.509243
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.696649,35.641812
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.63693,35.599312
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.579022,35.547692
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.517764,35.510219
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.487869,35.696677
Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,-83.48558,35.669196
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.481533,35.710427
Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.467176,35.659461
