genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.841223,35.593412
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.833247,35.608787
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.817072,35.592889
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.794171,35.602913
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.78463,35.604333
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.610294,35.613052
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.545139,35.700463
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.511901,35.45789
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.509265,35.456376
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.493099,35.542514
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.458565,35.678341
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.454734,35.678059
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.448473,35.578638
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.44732,35.675488
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.444142,35.673777
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.408352,35.511075
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.357937,35.655558
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305386,35.514323
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.30496,35.516377
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.194869,35.763009
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.194373,35.764271
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.181537,35.571697
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.180908,35.564361
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.178385,35.559999
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.173053,35.55209
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.15755,35.556434
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.154037,35.55336
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.141748,35.551695
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.139362,35.551566
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.071806,35.586578
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.07165,35.586942
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.070571,35.581885
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.068562,35.586174
Toxostoma_rufum,Toxostoma  rufum,40625,Brown Thrasher,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066646,35.584188
